episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited
528,400,47,47,2.94,0.7492,0,1,32
529,400,42,44,-8.91,0.7487,0,1,32
530,400,48,48,9.64,0.7483,0,1,32
531,400,35,35,-6.76,0.7478,0,1,32
532,400,43,43,-1.56,0.7473,0,1,32
533,400,41,41,0.79,0.7468,0,1,32
534,400,39,39,-4.11,0.7464,0,1,32
535,400,39,39,-13.51,0.7459,0,1,32
536,400,39,39,-8.51,0.7454,0,1,32
537,400,41,41,-7.31,0.7449,0,1,32
538,400,43,43,-1.86,0.7445,0,1,32
539,400,39,39,-15.91,0.744,0,1,32
540,400,49,49,2.44,0.7435,0,1,32
541,400,38,38,-10.31,0.743,0,1,32
542,400,27,27,-19.86,0.7426,0,1,32
543,400,37,39,-11.61,0.7421,0,1,32
544,400,41,41,-5.86,0.7416,0,1,32
545,400,33,33,-18.71,0.7411,0,1,32
546,400,43,43,-4.41,0.7407,0,1,32
547,400,40,40,-8.41,0.7402,0,1,32
548,400,36,36,-10.71,0.7397,0,1,32
549,400,47,47,2.14,0.7392,0,1,32
550,400,44,44,-1.46,0.7388,0,1,32
551,400,40,40,-6.01,0.7383,0,1,32
552,400,45,45,1.54,0.7378,0,1,32
553,400,42,42,-8.01,0.7373,0,1,32
554,400,35,35,-17.31,0.7369,0,1,32
555,400,43,45,1.59,0.7364,0,1,32
556,400,37,37,-16.91,0.7359,0,1,32
557,400,46,46,0.84,0.7354,0,1,32
558,365,49,51,5.09,0.7349,0,1,32
559,400,48,48,-0.56,0.7345,0,1,32
560,400,35,35,-9.16,0.734,0,1,32
561,400,44,44,-1.61,0.7335,0,1,32
562,400,36,36,-18.51,0.733,0,1,32
563,400,45,45,-5.26,0.7326,0,1,32
564,400,46,46,4.74,0.7321,0,1,32
565,400,40,40,-11.46,0.7316,0,1,32
566,365,49,51,9.04,0.7311,0,1,32
567,400,46,46,-5.76,0.7307,0,1,32
568,400,48,48,2.29,0.7302,0,1,32
569,400,38,38,-15.51,0.7297,0,1,32
570,400,44,44,-7.26,0.7292,0,1,32
571,400,33,33,-23.76,0.7288,0,1,32
572,400,45,45,-0.36,0.7283,0,1,32
573,400,39,39,-2.91,0.7278,0,1,32
574,400,44,44,-2.36,0.7274,0,1,32
575,400,47,47,2.24,0.7269,0,1,32
576,400,47,47,-6.41,0.7264,0,1,32
577,400,44,44,-0.41,0.7259,0,1,32
