episode,coins_collected,total_reward,epsilon
850,0,-4.0,0.94953125
851,1,-2.0,0.949471875
852,1,-7.0,0.9494125
853,1,-3.0,0.949353125
854,0,-2.0,0.94929375
855,2,-3.0,0.949234375
856,2,-3.0,0.949175
857,0,-1.0,0.949115625
858,1,-2.0,0.94905625
859,0,-2.0,0.948996875
860,1,-2.0,0.9489375
861,1,-3.0,0.948878125
862,0,-1.0,0.94881875
863,2,-3.0,0.948759375
864,1,-2.0,0.9487
865,1,-5.0,0.948640625
866,1,-1.0,0.94858125
867,1,-4.0,0.948521875
868,1,-3.0,0.9484625
869,1,-2.0,0.948403125
870,2,-2.0,0.94834375
871,0,-6.0,0.948284375
872,3,-12.0,0.948225
873,1,-2.0,0.948165625
874,1,-2.0,0.94810625
875,0,-4.0,0.948046875
876,1,-3.0,0.9479875
877,1,-3.0,0.947928125
878,1,-6.0,0.94786875
879,2,-4.0,0.947809375
880,3,-7.0,0.94775
881,1,-12.0,0.947690625
882,1,-3.0,0.94763125
883,0,-2.0,0.947571875
884,0,-3.0,0.9475125
885,0,-6.0,0.947453125
886,0,-5.0,0.94739375
887,0,-3.0,0.947334375
888,1,-2.0,0.947275
889,1,1.0,0.947215625
890,0,-5.0,0.94715625
891,0,-3.0,0.947096875
892,0,-3.0,0.9470375
893,0,-2.0,0.946978125
894,0,-1.0,0.94691875
895,1,0.0,0.9468593750000001
896,1,-1.0,0.9468
897,1,0.0,0.946740625
898,0,-3.0,0.94668125
899,1,-2.0,0.946621875
900,2,0.0,0.9465625
901,3,0.0,0.946503125
902,1,-5.0,0.94644375
903,1,-5.0,0.946384375
904,1,-7.0,0.946325
905,1,-2.0,0.946265625
906,2,-1.0,0.94620625
907,1,-2.0,0.9461468749999999
908,0,-2.0,0.9460875
909,3,-1.0,0.946028125
910,4,0.0,0.94596875
911,1,-1.0,0.945909375
912,2,-6.0,0.94585
913,2,-5.0,0.945790625
914,2,0.0,0.94573125
915,0,-2.0,0.945671875
916,1,-3.0,0.9456125
917,1,-4.0,0.945553125
918,2,-5.0,0.94549375
919,1,-1.0,0.945434375
920,2,1.0,0.945375
921,0,-13.0,0.945315625
922,1,-1.0,0.94525625
923,1,1.0,0.945196875
924,1,-1.0,0.9451375
925,1,0.0,0.945078125
926,0,-3.0,0.94501875
927,3,-2.0,0.944959375
928,2,-3.0,0.9449
929,2,-2.0,0.944840625
930,1,-2.0,0.94478125
931,0,-8.0,0.944721875
932,0,-2.0,0.9446625
933,1,-2.0,0.944603125
934,0,-1.0,0.94454375
935,0,0.0,0.944484375
936,2,-1.0,0.944425
