episode,steps,score,coins,reward,epsilon,killed_self,survived,states_visited,q_UP,q_RIGHT,q_DOWN,q_LEFT,q_WAIT,q_BOMB
231,400,26,26,-31.6,0.8903,0,1,32,1.62962,2.1065,1.44413,2.33262,2.14394,0.0
232,400,27,27,-29.65,0.8898,0,1,32,1.69395,2.22112,1.54898,2.36967,2.15443,0.0
233,400,24,24,-26.45,0.8893,0,1,32,1.64578,2.22662,1.60786,2.30994,2.08988,0.0
234,400,29,29,-30.6,0.8889,0,1,32,1.63362,2.22498,1.60984,2.36346,2.06401,0.0
235,400,18,18,-46.95,0.8884,0,1,32,1.61042,2.10127,1.62773,2.20205,2.05212,0.0
236,400,32,32,-33.65,0.8879,0,1,32,1.60847,2.10458,1.62828,2.38675,2.05615,0.0
237,400,14,14,-46.1,0.8874,0,1,32,1.55179,1.77467,1.57882,2.20764,1.9769,0.0
238,400,20,20,-42.4,0.887,0,1,32,1.54228,1.97394,1.54817,2.32833,1.97256,0.0
239,400,16,16,-43.5,0.8865,0,1,32,1.53286,2.03376,1.53599,2.26445,1.97809,0.0
240,400,26,26,-31.95,0.886,0,1,32,1.48673,2.10966,1.4971,2.13683,1.91931,0.0
241,400,30,30,-25.65,0.8855,0,1,32,1.44851,2.01245,1.45068,2.0226,1.85754,0.0
242,400,23,23,-32.1,0.8851,0,1,32,1.42546,2.05138,1.4234,2.22711,1.82411,0.0
243,400,28,28,-23.3,0.8846,0,1,32,1.54744,2.07183,1.53274,2.4395,1.96974,0.0
244,400,18,18,-41.65,0.8841,0,1,32,1.50262,2.05311,1.54915,2.08903,1.97264,0.0
245,400,15,15,-52.7,0.8836,0,1,32,1.46338,1.94732,1.45909,2.16372,1.90843,0.0
246,400,31,31,-18.7,0.8831,0,1,32,1.43514,1.91707,1.42485,2.07906,1.85962,0.0
247,400,28,29,-32.95,0.8827,0,1,32,1.50741,2.0246,1.49895,2.23981,1.98922,0.0
248,400,31,31,-26.75,0.8822,0,1,32,1.54716,2.04758,1.33645,2.35186,2.00663,0.0
249,400,31,31,-24.55,0.8817,0,1,32,1.51547,2.07644,1.42535,2.22127,1.96375,0.0
250,400,24,24,-35.15,0.8812,0,1,32,1.49766,2.05964,1.49691,1.92555,2.01102,0.0
251,400,23,23,-38.0,0.8808,0,1,32,1.49766,2.09129,1.48504,2.08372,1.95423,0.0
252,400,32,33,-12.25,0.8803,0,1,32,1.46384,2.0935,1.4754,2.26132,1.92788,0.0
253,400,20,20,-37.45,0.8798,0,1,32,1.47663,2.06767,1.47694,2.19162,1.94088,0.0
254,400,27,27,-28.05,0.8793,0,1,32,1.46761,2.06485,1.4655,2.33294,1.94088,0.0
255,400,29,29,-14.85,0.8789,0,1,32,1.46761,2.07292,1.48747,2.32027,1.97096,0.0
256,400,24,24,-35.75,0.8784,0,1,32,1.48928,2.08234,1.52063,2.23948,1.98506,0.0
257,400,20,21,-31.55,0.8779,0,1,32,1.51562,2.04971,1.53671,2.23556,2.00429,0.0
